            Australian Bureau of Statistics,,,,,,,,,
"6333.0 Characteristics of Employment, Australia, August 2021",,,,,,,,,
Released at 11:30 am (Canberra time) Tue 14 Dec 2021,,,,,,,,,
"Table 1a.1 Median weekly earnings for employees by sex, state and full-time or part-time, 2004-2021",,,,,,,,,
,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory ,Australia
,$,$,$,$,$,$,$,$,$
                                                                                                                                                                   PERSONS                                                                                                                                                                       ,,,,,,,,,
Full-time in main job,,,,,,,,,
2008, 980.0 , 911.0 , 950.0 , 850.0 ," 1,100.0 ", 803.7 ," 1,000.0 "," 1,150.0 ", 950.0 
2009," 1,000.0 ", 923.0 ," 1,000.0 ", 900.0 ," 1,087.6 ", 898.1 ," 1,200.0 "," 1,197.2 "," 1,000.0 "
2010," 1,000.0 ", 980.0 ," 1,000.0 ", 950.0 ," 1,200.0 ", 895.0 ," 1,150.0 "," 1,200.0 "," 1,000.0 "
2011," 1,050.0 "," 1,000.0 "," 1,076.9 "," 1,000.0 "," 1,250.0 ", 950.0 ," 1,056.5 "," 1,221.4 "," 1,050.0 "
2012," 1,100.0 "," 1,035.0 "," 1,100.0 "," 1,000.0 "," 1,300.0 ", 978.4 ," 1,200.0 "," 1,322.7 "," 1,100.0 "
2013," 1,100.0 "," 1,026.3 "," 1,147.1 "," 1,013.0 "," 1,330.0 ", 991.2 ," 1,304.5 "," 1,308.0 "," 1,100.0 "
2014," 1,188.0 "," 1,100.0 "," 1,150.0 "," 1,089.9 "," 1,437.7 "," 1,000.0 "," 1,500.0 "," 1,379.8 "," 1,180.0 "
2015," 1,200.0 "," 1,100.0 "," 1,150.0 "," 1,100.0 "," 1,342.0 "," 1,000.0 "," 1,341.1 "," 1,400.0 "," 1,187.0 "
2016," 1,200.0 "," 1,150.0 "," 1,150.0 "," 1,100.0 "," 1,327.8 "," 1,032.9 "," 1,443.0 "," 1,391.0 "," 1,200.0 "
2017," 1,200.0 "," 1,167.7 "," 1,200.0 "," 1,096.8 "," 1,395.7 "," 1,100.0 "," 1,400.0 "," 1,500.0 "," 1,200.0 "
2018," 1,262.6 "," 1,250.0 "," 1,250.0 "," 1,150.0 "," 1,460.0 "," 1,111.6 "," 1,368.0 "," 1,410.1 "," 1,260.0 "
2019," 1,282.5 "," 1,232.7 "," 1,250.0 "," 1,200.0 "," 1,500.0 "," 1,150.0 "," 1,399.7 "," 1,485.7 "," 1,280.0 "
2020," 1,300.0 "," 1,303.7 "," 1,214.4 "," 1,200.0 "," 1,591.0 "," 1,139.2 "," 1,300.7 "," 1,608.6 "," 1,300.0 "
2021," 1,400.0 "," 1,350.0 "," 1,300.0 "," 1,258.0 "," 1,540.0 "," 1,121.9 "," 1,491.0 "," 1,664.9 "," 1,380.0 "
                                                                                                                                                                   FEMALES                                                                                                                                                                  ,,,,,,,,,
Full-time in main job,,,,,,,,,
2004, 760.0 , 735.0 , 682.0 , 719.0 , 700.0 , 668.0 , 780.0 , 885.0 , 729.0 
2005, 790.0 , 794.0 , 720.0 , 705.0 , 750.0 , 725.0 , 800.0 , 938.0 , 760.0 
2006, 820.7 , 805.0 , 750.0 , 766.3 , 750.0 , 750.0 , 801.0 ," 1,000.0 ", 800.0 
2007, 863.0 , 850.0 , 800.0 , 815.0 , 826.7 , 750.0 , 811.3 ," 1,115.0 ", 846.0 
2008, 920.0 , 897.0 , 850.0 , 810.0 , 900.0 , 831.4 , 950.6 ," 1,114.8 ", 900.0 
2009, 920.0 , 900.0 , 900.0 , 901.9 , 917.9 , 852.8 ," 1,000.0 "," 1,162.1 ", 916.9 
2010," 1,000.0 ", 965.9 , 900.0 , 900.0 ," 1,000.0 ", 900.0 ," 1,000.0 "," 1,189.7 ", 962.0 
2011," 1,000.0 ", 980.0 , 999.1 , 962.0 ," 1,000.0 ", 923.5 ," 1,100.0 "," 1,244.9 "," 1,000.0 "
2012," 1,050.0 "," 1,016.3 "," 1,000.0 "," 1,000.0 "," 1,102.1 ", 961.6 ," 1,057.0 "," 1,274.3 "," 1,040.0 "
2013," 1,057.0 "," 1,000.0 ", 998.6 ," 1,000.0 "," 1,100.0 ", 961.0 ," 1,146.8 "," 1,350.0 "," 1,035.0 "
2014," 1,150.0 "," 1,050.6 "," 1,036.2 "," 1,051.4 "," 1,187.7 "," 1,000.0 "," 1,248.2 "," 1,341.0 "," 1,100.0 "
